pv,bond_dirty_price,ls,lt,dp,type,du,id,iopv,ig,ed,change_vs_pc_percentage,ej,clo,el,v_,ex,nc,vl,cur,fn,trading_time,bl,sc,bv,dpc,iiv,sip,bond_clean_price,cc,ptd,b,issuer-name,c,sv,h,i,cn,l,m,n,o,p_,cr,p,bond_accrued_interest,change_vs_pc,r,s,cx,v,lf,bond_date,datetime,datetime_sg
0.0,,P,0.0,,listedcertificates,,0,0.0,,,,,,0.0,,,,0.0,,,20260709_091600,,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.9,,P,0.89,,stocks,,0,0.0,,,,,,0.0,,,LVR,32.0,SGD,,20260709_091600,100,K,3.1,,,,,,20260708,0.865,17LIVE GROUP,-0.01,8.6,0.9,,,0.885,MAINBOARD,17LIVE GROUP,0.9,X,,-1.111,,,,0.890,0.0,28555.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.001,,P,0.001,,companywarrants,,0,0.0,8.0,,,,,0.0,,,VT2W,0.0,SGD,,20260709_091600,1,,0.0,,,,,,,,17LIVE W281207,0.0,0.5,0.0,,,0.0,MAINBOARD,17LIVE W281207,0.0,X,,0.0,,,,0.001,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.069,,P,0.069,,stocks,,0,0.0,,,,,,0.0,,,AZG,0.0,SGD,,20260709_091600,100,J,0.0,,,,,,20190905,,8Telecom,0.0,0.0,0.0,SUSP,,0.0,MAINBOARD,8Telecom,0.0,X,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.037,,P,0.034,,stocks,,0,0.0,,,,,,0.0,,,1Y1,490.0,SGD,,20260709_091600,100,B,314.5,,,,,,20260708,0.032,9R,-0.003,250.0,0.034,,,0.033,CATALIST,9R,0.033,X,,-8.108,,,,0.033,0.0,16180.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.002,,P,0.002,,companywarrants,,0,0.0,8.0,,,,,0.0,,,KJZW,0.0,SGD,,20260709_091600,100,,0.0,,,,,,,,9RW270628,0.0,0.0,0.0,,,0.0,CATALIST,9RW270628,0.0,X,,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.988,,P,0.99,,etfs,,0,0.0,9.0,,,,,0.0,,,SBO,1459.35,SGD,,20260709_091600,1,,1209.198,,,,,,,0.989,A Lion Short Bond S$,0.002,1122.471,0.99,,,0.988,MAINBOARD,A Lion Short Bond S$,0.989,X,,0.202,,,,0.990,0.99,1444177.344,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.764,,P,0.763,,etfs,,0,0.0,9.0,,,,,0.0,,,SBV,704.7,USD,,20260709_091600,1,,80.0,,,,,,,0.765,A Lion Short Bond US$,-0.001,80.0,0.765,,,0.762,MAINBOARD,A Lion Short Bond US$,0.765,X,,-0.131,,,,0.773,0.766,537372.9,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
1.548,,P,1.576,,etfs,,0,0.0,9.0,,,,,0.0,,,JJJ,55.823,SGD,,20260709_091600,1,,80.0,,,,,,,1.574,A Lion-Nomura Japan S$,0.028,80.0,1.59,,,1.55,MAINBOARD,A Lion-Nomura Japan S$,1.55,X,,1.809,,,,1.586,1.576,88056.711,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
1.202,,P,1.202,,etfs,,0,0.0,9.0,,,,,0.0,,,JUS,0.0,USD,,20260709_091600,1,,80.0,,,,,,,1.217,A Lion-Nomura Japan US$,0.0,80.0,0.0,,,0.0,MAINBOARD,A Lion-Nomura Japan US$,0.0,X,,0.0,,,,1.227,1.222,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
