Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change %,Volume,datetime,Market Cap__repeated,P/E__repeated,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price__repeated,Change %__repeated,Volume__repeated,datetime__repeated,Market Cap__repeated,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price__repeated,Change %__repeated,Volume__repeated,datetime__repeated,Market Cap__repeated,Dividend,ROA,ROE,ROIC,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price__repeated,Change %__repeated,Volume__repeated,datetime__repeated,date
AA,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,41950000000.0,29.83,148.53,-0.51%,983111.0,2026-08-14 17:42:02,41950000000.0,29.83,22.50,2.4,5.8,5.89,23.22,38.59,8.36%,8.98%,14.68%,9.37%,5.41%,148.53,-0.51%,983111.0,2026-08-14 17:53:24,41950000000.0,282220000.0,281490000.0,0.0033,-0.0017000000000000001,0.9208,-0.0073,2.04%,2.51,2290000.0,148.53,-0.51%,983111.0,2026-08-14 22:04:43,41950000000.0,0.0069,0.1121,0.2133,13.90%,2.1,1.62,0.43,0.47,0.5279,0.22940000000000002,0.1955,Aug 26/a,148.53,-0.51%,983111.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAA,Alcoa Corp,Basic Materials,Aluminum,USA,13190000000.0,10.25,49.98,0.79%,2921558.0,2026-08-14 17:42:02,13190000000.0,10.25,8.06,0.41,0.95,1.79,8.75,37.47,73.83%,-5.38%,-,19.58%,7.07%,49.98,0.79%,2921630.0,2026-08-14 17:53:24,13190000000.0,263910000.00000003,262470000.00000003,,,0.8210999999999999,-0.042300000000000004,3.56%,1.63,5730000.0,49.98,0.79%,2921675.0,2026-08-14 22:04:43,13190000000.0,0.008,0.081,0.191,13.45%,1.53,0.92,0.3,0.3,0.142,0.1166,0.0933,Jul 16/a,49.98,0.79%,2921775.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,,24.95,0.00%,697.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,24.95,0.00%,697.0,2026-08-14 17:53:24,,,,,,,,-,0.4,22270.0,24.95,0.00%,697.0,2026-08-14 22:04:43,,0.0481,,,-,,,,,,,,-,24.95,0.00%,697.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,,30.97,-0.12%,2664.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,30.97,-0.12%,2664.0,2026-08-14 17:53:24,,,,,,,,-,1.06,6050.0,30.97,-0.12%,2664.0,2026-08-14 22:04:43,,0.0126,,,-,,,,,,,,-,30.97,-0.12%,2664.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,,,20.09,0.05%,49.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,20.09,0.05%,49.0,2026-08-14 17:53:24,,,,,,,,-,0.0,76480.0,20.09,0.05%,49.0,2026-08-14 22:04:43,,0.0286,,,-,,,,,,,,-,20.09,0.05%,49.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,USA,,,49.58,-0.16%,12.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,49.58,-0.16%,12.0,2026-08-14 17:53:24,,,,,,,,-,1.41,250.0,49.58,-0.16%,12.0,2026-08-14 22:04:43,,0.008,,,-,,,,,,,,-,49.58,-0.16%,12.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,USA,,,25.36,0.06%,6014.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,25.36,0.06%,6014.0,2026-08-14 17:53:24,,,,,,,,-,0.0,78350.0,25.36,0.06%,6014.0,2026-08-14 22:04:43,,0.0022,,,-,,,,,,,,-,25.36,0.06%,6014.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,43.16,0.63%,709507.0,2026-08-14 17:42:02,,,-,,,,,,-,-,-,-,-,43.16,0.63%,709511.0,2026-08-14 17:53:24,,,,,,,,-,0.38,1540000.0,43.16,0.63%,709512.0,2026-08-14 22:04:43,,,,,-,,,,,,,,-,43.16,0.63%,709512.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAAC-U,Ares Acquisition Corp III,Financial,Shell Companies,USA,400730000.0,,10.1,0.00%,24.0,2026-08-14 17:42:02,400730000.0,,-,,,,121.43,,-,-,-,-,-,10.1,0.00%,24.0,2026-08-14 17:53:24,400730000.0,39500000.0,,,,0.2263,,-,0.44,565320.0,10.1,0.00%,24.0,2026-08-14 22:04:43,400730000.0,,,,-,0.3,0.3,,,,,,-,10.1,0.00%,24.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
AAACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,293080000.0,75.0,10.59,0.14%,68555.0,2026-08-14 17:42:02,293080000.0,75.0,-,,,1.36,14653.76,,-,-,-,-,-,10.59,0.14%,68555.0,2026-08-14 17:53:24,293080000.0,22180000.0,22010000.0,0.2047,0.0,0.7683,,0.00%,0.02,43770.0,10.59,0.14%,68555.0,2026-08-14 22:04:43,293080000.0,,0.0171,0.0183,1.82%,0.03,0.03,0.0,0.0,,,,-,10.59,0.14%,68555.0,2026-08-14 22:16:08,2026-08-14 00:00:00-04:00
