Ticker,Market Cap,Dividend,ROA,ROE,ROIC,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change %,Volume,datetime
NVDA,5356710000000.0,0.0034000000000000002,0.8368000000000001,1.1721,72.42%,4.59,3.85,0.16,0.17,0.7467,0.6520999999999999,0.6365999999999999,Aug 26/a,222.27,1.34%,190237601.0,2026-09-18 23:56:13
AAPL,4905540000000.0,0.0033,0.3608,1.4875,72.08%,1.0,0.93,0.66,0.78,0.4865,0.3317,0.2762,Jul 30/a,336.13,-0.26%,86581452.0,2026-09-18 23:56:13
GOOGL,4254569999999.9995,0.0023,0.34299999999999997,0.4868,32.33%,2.72,2.64,0.18,0.18,0.6093999999999999,0.3396,0.547,Jul 22/a,349.54,0.64%,47617863.0,2026-09-18 23:56:13
GOOG,4236649999999.9995,0.0023,0.34299999999999997,0.4868,32.33%,2.72,2.64,0.18,0.18,0.6093999999999999,0.3396,0.547,Jul 22/a,344.41,0.21%,34102555.0,2026-09-18 23:56:13
MSFT,3666590000000.0,0.0079,0.1942,0.3404,24.22%,1.23,1.22,0.25,0.29,0.6794,0.4678,0.4031,Jul 29/a,493.78,-0.80%,39617383.0,2026-09-18 23:56:13
AMZN,2736600000000.0,,0.1522,0.3056,17.46%,1.03,0.87,0.4,0.44,0.5077,0.1268,0.1744,Jul 30/a,253.71,1.00%,52267249.0,2026-09-18 23:56:13
TSM,2254410000000.0,0.0095,0.26899999999999996,0.4006,31.23%,2.46,2.25,0.14,0.17,0.6308,0.5584,0.5031,Jul 16/b,434.67,1.02%,12902184.0,2026-09-18 23:56:13
SPCX,2072440000000.0,,,,-,5.12,4.99,0.29,0.31,,,,Aug 04/a,152.71,-1.36%,335625337.0,2026-09-18 23:56:13
AVGO,1707100000000.0,0.0073,0.2163,0.4425,24.39%,2.5,2.29,0.57,0.6,0.6654000000000001,0.4857,0.4294,Sep 02/a,357.61,2.97%,44022503.0,2026-09-18 23:56:13
META,1696000000000.0,0.0029,0.18289999999999998,0.2985,18.35%,2.23,2.23,0.42,0.43,0.8175,0.38079999999999997,0.2984,Jul 29/a,665.75,-2.43%,27590950.0,2026-09-18 23:56:13
TSLA,1438700000000.0,,0.0275,0.0464,3.79%,1.94,1.55,0.16,0.19,0.1885,0.0461,0.036699999999999997,Jul 22/a,364.27,-0.53%,51901024.0,2026-09-18 23:56:13
SKHY,1366620000000.0,0.0026,0.6831999999999999,0.937,61.27%,2.59,2.29,0.06,0.08,0.7563,0.6776000000000001,0.8495,Jul 29/b,187.5,2.46%,71079440.0,2026-09-18 23:56:13
MU,1147240000000.0,0.0006,0.475,0.6664,47.38%,3.42,2.98,0.06,0.06,0.726,0.6575,0.5590999999999999,Sep 30/a,1015.8,3.92%,35769674.0,2026-09-18 23:56:13
LLY,1085319999999.9999,0.006,0.21960000000000002,1.0243,32.68%,1.35,1.0,1.41,1.62,0.8340000000000001,0.4972,0.3353,Aug 05/b,1152.93,0.04%,4549814.0,2026-09-18 23:56:13
BRK-B,981360000000.0,,0.0707,0.1211,9.82%,7.29,6.88,0.17,0.17,0.2352,0.1625,0.223,Aug 08/a,509.77,0.11%,12496105.0,2026-09-18 23:56:13
BRK-A,979830000000.0,,0.0707,0.1211,9.82%,7.29,6.88,0.17,0.17,0.2352,0.1625,0.223,Aug 08/a,763600.0,-0.04%,609.0,2026-09-18 23:56:13
JPM,929490000000.0,0.0183,0.013500000000000002,0.1771,7.41%,1.15,,1.33,3.41,,0.2836,0.2139,Jul 14/b,349.67,0.10%,18312349.0,2026-09-18 23:56:13
AMD,913890000000.0,,0.0812,0.102,9.11%,2.61,1.91,0.05,0.06,0.5036999999999999,0.15710000000000002,0.1558,Aug 04/a,559.82,2.70%,31852782.0,2026-09-18 23:56:13
WMT,846770000000.0,0.009300000000000001,0.0782,0.23440000000000003,14.20%,0.77,0.23,0.58,0.75,0.2523,0.043899999999999995,0.03,Aug 20/b,106.73,-0.06%,45334213.0,2026-09-18 23:56:13
V,687610000000.0,0.0073,0.2302,0.6067,39.97%,0.99,0.99,0.59,0.68,0.7716,0.6704000000000001,0.5035000000000001,Jul 28/a,368.29,-0.44%,19583004.0,2026-09-18 23:56:13
XOM,672460000000.0,0.0254,0.0718,0.1255,11.23%,1.13,0.85,0.12,0.16,0.20879999999999999,0.113,0.0901,Jul 31/b,163.54,0.17%,37639555.0,2026-09-18 23:56:13
JNJ,650650000000.0,0.0199,0.1067,0.25739999999999996,17.20%,1.09,0.81,0.44,0.58,0.6803,0.2699,0.2148,Jul 15/b,269.99,-0.09%,16428383.0,2026-09-18 23:56:13
ASML,647470000000.0,0.0063,0.2254,0.5437,45.57%,1.33,0.8,0.09,0.09,0.5273,0.3542,0.3011,Jul 15/b,1679.92,3.08%,2527055.0,2026-09-18 23:56:13
INTC,574070000000.0,0.0004,-0.0572,-0.12179999999999999,-8.30%,1.6,1.25,0.55,0.58,0.39049999999999996,0.0803,-0.1979,Jul 23/a,108.6,-0.18%,174929394.0,2026-09-18 23:56:13
MA,495160000000.0,0.0063,0.298,2.4149000000000003,58.49%,1.06,1.06,3.95,4.39,0.966,0.5919,0.46270000000000006,Jul 30/b,565.24,-0.09%,5439926.0,2026-09-18 23:56:13
ABBV,466450000000.0,0.026000000000000002,0.046,152.2182,11.08%,0.81,0.69,,,0.7142000000000001,0.3418,0.0974,Jul 31/b,263.96,-0.02%,8176595.0,2026-09-18 23:56:13
ORCL,446330000000.0,0.013300000000000001,0.0782,0.41619999999999996,8.46%,1.17,1.17,2.35,2.53,0.6193,0.34240000000000004,0.261,Sep 10/a,147.61,-1.98%,39311095.0,2026-09-18 23:56:13
CSCO,431750000000.0,0.015600000000000001,0.10529999999999999,0.2732,18.71%,0.93,0.79,0.41,0.62,0.6341,0.2516,0.2095,Aug 12/a,109.51,-0.66%,41294176.0,2026-09-18 23:56:13
PLTR,426880000000.0,,0.31679999999999997,0.38420000000000004,30.21%,7.23,7.23,0.02,0.02,0.848,0.428,0.49,Aug 03/a,177.64,0.79%,39298041.0,2026-09-18 23:56:13
CVX,413940000000.0,0.0341,0.0709,0.1225,9.09%,1.25,0.98,0.19,0.2,0.1848,0.1333,0.0974,Jul 31/b,209.51,-0.97%,47297798.0,2026-09-18 23:56:13
BAC,403690000000.0,0.0206,0.0097,0.1125,5.34%,1.03,,1.1,2.47,,0.2132,0.1653,Jul 14/b,57.73,-0.77%,52482242.0,2026-09-18 23:56:13
COST,397050000000.0,0.0058,0.1092,0.2915,21.22%,1.07,0.61,0.24,0.25,0.1288,0.0382,0.0301,Sep 24/a,895.31,0.15%,4179826.0,2026-09-18 23:56:13
KO,379700000000.0,0.024900000000000002,0.1349,0.44229999999999997,19.57%,1.3,1.12,1.02,1.2,0.6195,0.3193,0.28309999999999996,Jul 28/b,88.25,0.22%,28047812.0,2026-09-18 23:56:13
CAT,371870000000.0,0.0077,0.1124,0.5699000000000001,21.08%,1.37,0.85,1.65,2.33,0.3283,0.1832,0.1451,Aug 04/b,808.99,1.30%,4790966.0,2026-09-18 23:56:13
MRK,362350000000.0,0.0232,0.025699999999999997,0.0698,3.41%,1.32,1.1,1.22,1.29,0.7243,0.1881,0.0479,Aug 04/b,146.87,-0.19%,31159363.0,2026-09-18 23:56:13
DELL,361180000000.0,0.0044,0.1051,,45.31%,0.96,0.71,,,0.19699999999999998,0.0989,0.0753,Sep 01/a,568.06,-3.46%,11730840.0,2026-09-18 23:56:13
LRCX,360520000000.0,0.0042,0.32380000000000003,0.6507,44.04%,2.63,1.91,0.32,0.33,0.5047,0.3529,0.3127,Jul 29/a,288.11,6.98%,19633896.0,2026-09-18 23:56:13
AMAT,352810000000.0,0.0043,0.2384,0.4107,29.37%,2.42,1.79,0.23,0.29,0.494,0.3109,0.3005,Aug 13/a,444.57,6.51%,14299932.0,2026-09-18 23:56:13
HSBC,349380000000.0,0.0409,0.0073,0.14029999999999998,5.74%,1.63,,1.43,3.29,,0.1527,0.1779,Aug 04/b,101.83,-0.98%,1751050.0,2026-09-18 23:56:13
PG,340020000000.0,0.03,0.1275,0.3025,20.69%,0.68,0.47,0.43,0.65,0.5086999999999999,0.2386,0.18100000000000002,Jul 29/b,146.39,-0.79%,12944228.0,2026-09-18 23:56:13
UNH,338300000000.0,0.024,0.045700000000000005,0.1462,8.41%,0.78,,0.71,0.74,,0.0482,0.031400000000000004,Jul 16/b,376.9,0.45%,8615967.0,2026-09-18 23:56:13
GE,326070000000.0,0.005699999999999999,0.0708,0.4875,25.18%,0.98,0.67,1.02,1.15,0.35229999999999995,0.1852,0.1769,Jul 16/b,314.27,0.26%,10448426.0,2026-09-18 23:56:13
MS,318170000000.0,0.0212,0.013300000000000001,0.1795,3.97%,1.4,,3.37,4.69,,0.201,0.1517,Jul 15/b,202.58,-0.46%,7445046.0,2026-09-18 23:56:13
HD,299290000000.0,0.030699999999999998,0.1359,1.043,20.70%,1.08,0.31,3.14,3.77,0.3122,0.1243,0.08410000000000001,Aug 18/b,299.98,-0.84%,8200154.0,2026-09-18 23:56:13
NFLX,298930000000.0,,0.2447,0.4954,31.11%,1.14,1.14,0.46,0.55,0.4953,0.3025,0.2799,Jul 16/a,71.79,-4.67%,114391680.0,2026-09-18 23:56:13
PANW,297410000000.0,,0.0085,0.0174,1.02%,0.82,0.82,0.09,0.09,0.6548,0.0542,0.026699999999999998,Sep 01/a,363.58,-3.06%,13799736.0,2026-09-18 23:56:13
ARM,294350000000.0,,0.1014,0.1335,11.53%,5.25,5.25,0.05,0.06,0.9388,0.1726,0.2025,Jul 29/a,275.61,4.04%,6959130.0,2026-09-18 23:56:13
PM,293990000000.0,0.0318,0.1586,,32.10%,0.98,0.55,,,0.6533,0.3732,0.2555,Jul 22/b,188.62,-0.98%,7805280.0,2026-09-18 23:56:13
RY,281900000000.0,0.024399999999999998,0.0097,0.163,4.19%,0.81,,2.79,2.88,,0.195,0.15689999999999998,Aug 27/b,203.3,-0.13%,1460765.0,2026-09-18 23:56:13
BABA,281470000000.0,0.0098,0.0383,0.0707,5.52%,1.36,1.36,0.22,0.25,0.377,0.0406,0.07,Aug 20/b,113.24,4.33%,13236776.0,2026-09-18 23:56:13
GS,274279999999.99997,0.0203,0.010700000000000001,0.1699,4.33%,1.19,,2.94,6.5,,0.19519999999999998,0.1472,Jul 14/b,942.0,-1.00%,3983899.0,2026-09-18 23:56:13
SHEL,270500000000.0,0.0331,0.0675,0.1434,10.57%,1.43,1.12,0.36,0.4,0.1812,0.1368,0.0876,Jul 30/b,94.54,-1.34%,4588715.0,2026-09-18 23:56:13
SNDK,262360000000.0,,0.6443000000000001,0.9164,71.85%,2.29,1.81,0.01,0.01,0.7147,0.6158,0.5646,Aug 05/a,1791.82,10.99%,17762529.0,2026-09-18 23:56:13
RTX,261470000000.00003,0.0148,0.0454,0.1202,7.76%,1.01,0.78,0.5,0.59,0.20350000000000001,0.10679999999999999,0.0828,Jul 23/b,194.0,0.24%,9843240.0,2026-09-18 23:56:13
WFC,260430000000.0,0.0222,0.0106,0.1252,6.39%,0.96,,0.96,2.57,,0.2192,0.16829999999999998,Jul 14/b,86.12,-0.89%,25024897.0,2026-09-18 23:56:13
MUFG,260350000000.00003,0.027000000000000003,0.0064,0.1253,5.74%,1.79,,1.18,3.16,,0.2086,0.20149999999999998,Aug 03/a,23.13,-1.57%,2294476.0,2026-09-18 23:56:13
AZN,257570000000.0,0.020099999999999996,0.0915,0.21989999999999998,13.69%,0.89,0.67,0.52,0.64,0.7393000000000001,0.2238,0.1702,Jul 27/b,166.08,-0.04%,3060379.0,2026-09-18 23:56:13
NVS,256950000000.0,0.031200000000000002,0.1127,0.3056,15.82%,0.86,0.67,0.94,1.18,0.7408,0.2958,0.2329,Jul 21/b,140.37,-0.39%,2247932.0,2026-09-18 23:56:13
ANET,251480000000.0,,0.201,0.3148,27.33%,2.96,2.59,0.0,0.0,0.63,0.4314,0.3837,Aug 04/a,199.39,-0.07%,10721290.0,2026-09-18 23:56:13
GEV,250440000000.0,0.0021,0.1424,0.9148000000000001,64.60%,0.84,0.62,0.23,0.24,0.2016,0.053200000000000004,0.2305,Jul 22/b,940.33,1.66%,4107913.0,2026-09-18 23:56:13
TXN,243510000000.0,0.0215,0.1699,0.3497,19.47%,4.86,3.44,0.72,0.78,0.5832999999999999,0.3807,0.3093,Jul 22/a,266.64,3.29%,19060369.0,2026-09-18 23:56:13
