Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
NNVDA,5448870000000.0,24220000000.0,23270000000.0,0.0385,-0.003,0.6957,0.0,1.26%,1.97,148200000.0,225.16,-0.06%,75478833.0,2026-08-14 22:04:43
AAAPL,4464800000000.0,14610000000.0,14580000000.0,0.0013,-0.0206,0.6676000000000001,0.0,0.97%,2.52,56270000.0,305.93,0.22%,28182659.0,2026-08-14 22:04:43
GGOOG,4217700000000.0,5530000000.0,5140000000.0,0.58,-0.0001,0.2724,0.0,0.91%,2.1,22320000.0,343.54,-0.12%,10895793.0,2026-08-14 22:04:43
GGOOGL,4217000000000.0,5870000000.0,5850000000.0,0.522,-0.0001,0.3858,0.0,1.21%,2.15,32740000.000000004,345.9,-0.13%,17744320.0,2026-08-14 22:04:43
MMSFT,3678620000000.0,7430000000.0,7310000000.0,0.015700000000000002,-0.0004,0.7484999999999999,-0.022400000000000003,1.11%,2.0,40730000.0,495.4,-0.30%,16199637.0,2026-08-14 22:04:43
AAMZN,2833030000000.0,10780000000.0,9810000000.0,0.0901,-0.0015,0.6701999999999999,0.0,1.00%,1.97,49920000.0,262.65,-0.94%,27159652.0,2026-08-14 22:04:43
TTSM,2211260000000.0,5190000000.0,5180000000.0,0.001,-0.032,0.1517,0.09759999999999999,0.64%,2.41,13800000.0,426.35,-0.96%,6298726.0,2026-08-14 22:04:43
AAVGO,1869680000000.0,4760000000.0,4670000000.0,0.0192,-0.0195,0.7879,-0.0067,1.31%,2.39,25560000.0,392.99,-5.94%,29423430.0,2026-08-14 22:04:43
SSPCX,1845450000000.0,7610000000.0,1580000000.0,0.8804000000000001,-0.0,0.024300000000000002,0.7665000000000001,13.18%,1.65,125750000.0,140.0,-0.91%,96194808.0,2026-08-14 22:04:43
MMETA,1502650000000.0,2210000000.0,2200000000.0,0.1369,-0.0006,0.6745,-0.0032,1.43%,1.74,18090000.0,589.85,-0.86%,8726425.0,2026-08-14 22:04:43
TTSLA,1351810000000.0,3950000000.0,2820000000.0,0.28559999999999997,-0.0001,0.4199,-0.0058,2.43%,1.59,43070000.0,342.27,0.68%,45364642.0,2026-08-14 22:04:43
SSKHY,1212320000000.0,7290000000.0,,,,0.0,-0.9743,-,0.51,44420000.0,166.33,0.40%,20577116.0,2026-08-14 22:04:43
LLLY,1110950000000.0,941500000.0,848310000.0,0.09880000000000001,-0.0003,0.7483,-0.0102,1.07%,3.06,2980000.0,1180.16,-2.39%,2271925.0,2026-08-14 22:04:43
MMU,1097390000000.0001,1130000000.0,1120000000.0,0.0043,-0.055,0.7686,-0.0263,2.66%,0.59,50250000.0,971.66,2.30%,27749557.0,2026-08-14 22:04:43
BBRK-B,971030000000.0,1400000000.0,1390000000.0,0.3542,0.0,0.4335,-0.0,0.89%,2.58,4840000.0,504.03,-0.57%,3960977.0,2026-08-14 22:04:43
BBRK-A,968370000000.0,1440000.0,510000.0,0.6484000000000001,0.0012,0.060899999999999996,-0.005,0.03%,0.79,200.0,755570.0,-0.84%,108.0,2026-08-14 22:04:43
JJPM,964500000000.0,2660000000.0,2650000000.0,0.0046,-0.029300000000000003,0.7559,-0.0089,1.07%,3.15,8970000.0,362.84,-0.07%,5057865.0,2026-08-14 22:04:43
WWMT,917330000000.0,7960000000.0,4440000000.0,0.4422,-0.0054,0.36219999999999997,-0.0051,1.62%,3.03,23750000.0,115.27,-0.39%,14505942.0,2026-08-14 22:04:43
AAMD,839730000000.0,1630000000.0,1620000000.0,0.0048,-0.060700000000000004,0.6977,-0.011399999999999999,2.32%,1.26,29910000.0,514.39,6.50%,25463059.0,2026-08-14 22:04:43
AASML,710750000000.0,385420000.0,385280000.0,0.0004,0.0,0.1913,-0.2014,0.28%,0.56,1910000.0,1844.08,-0.21%,928037.0,2026-08-14 22:04:43
VV,679890000000.0,1700000000.0,1700000000.0,0.0909,-0.0008,0.8059999999999999,-0.013300000000000001,1.22%,2.57,8080000.0,364.15,-0.36%,8105486.0,2026-08-14 22:04:43
XXOM,658320000000.0,4110000000.0000005,4099999999.9999995,0.0023,-0.6371,0.667,-0.0075,1.03%,2.6,16309999.999999998,160.1,0.94%,10228063.0,2026-08-14 22:04:43
JJNJ,627420000000.0,2410000000.0,2410000000.0,0.0015,-0.113,0.7576999999999999,0.0027,1.06%,3.1,8189999.999999999,260.35,-0.66%,4998070.0,2026-08-14 22:04:43
IINTC,517010000000.0,5040000000.0,4300000000.0,0.1472,0.0001,0.6082,0.0165,2.91%,1.02,122660000.0,102.5,-1.97%,95050864.0,2026-08-14 22:04:43
MMA,498700000000.0,871000000.0,807000000.0,0.0788,-0.0013,0.8176000000000001,-0.0155,1.11%,2.54,3540000.0,569.29,0.40%,2473230.0,2026-08-14 22:04:43
BBAC,450960000000.0,7020000000.0,6970000000.0,0.003,-0.0287,0.7805,-0.0287,1.44%,2.85,35300000.0,64.49,0.62%,21844330.0,2026-08-14 22:04:43
AABBV,440830000000.0,1770000000.0,1760000000.0,0.0012,-0.021400000000000002,0.7602,-0.0009,1.28%,3.37,6700000.0,249.46,-0.54%,4195011.0,2026-08-14 22:04:43
