Ticker,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change %,Volume,datetime
NVDA,5356710000000.0,28.1,14.14,0.22,17.68,23.44,53.91,42.18,94.12%,69.72%,95.27%,64.79%,66.90%,222.27,1.34%,190152388.0,2026-09-18 19:32:49
AAPL,4905540000000.0,38.53,34.99,2.74,10.51,45.67,78.62,35.89,18.42%,8.76%,17.91%,12.75%,8.71%,336.13,-0.26%,86572983.0,2026-09-18 19:32:49
GOOGL,4254569999999.9995,17.56,23.11,1.25,9.53,6.87,17.55,79.86,90.58%,-26.57%,29.82%,18.48%,17.18%,349.54,0.64%,47609503.0,2026-09-18 19:32:49
GOOG,4236649999999.9995,17.3,22.78,1.24,9.49,6.77,17.47,79.53,90.57%,-26.61%,29.82%,18.42%,17.18%,344.41,0.21%,34095929.0,2026-09-18 19:32:49
MSFT,3666590000000.0,27.52,21.02,1.14,11.05,8.29,47.72,54.74,14.17%,19.08%,17.38%,18.41%,14.57%,493.78,-0.80%,39611305.0,2026-09-18 19:32:49
AMZN,2736600000000.0,20.41,23.89,0.97,3.53,4.96,22.2,,78.13%,-16.83%,27.96%,24.57%,13.18%,253.71,1.00%,52252290.0,2026-09-18 19:32:49
TSM,2254410000000.0,31.37,19.79,0.52,15.78,11.16,20.41,56.5,60.02%,30.82%,25.67%,38.20%,21.86%,434.67,1.02%,12897794.0,2026-09-18 19:32:49
SPCX,2072440000000.0,,-,,,15.82,20.68,,-,-,-,-,-,152.71,-1.36%,335582284.0,2026-09-18 19:32:49
AVGO,1707100000000.0,45.65,18.58,0.29,19.16,17.13,71.2,43.32,71.16%,64.91%,49.76%,64.81%,21.74%,357.61,2.97%,44015092.0,2026-09-18 19:32:49
META,1696000000000.0,25.08,19.72,1.06,7.43,6.49,18.65,41.39,33.27%,7.85%,18.41%,18.59%,18.51%,665.75,-2.43%,27582013.0,2026-09-18 19:32:49
TSLA,1438700000000.0,338.45,158.21,6.44,13.88,16.56,32.68,249.69,3.08%,34.55%,38.32%,24.57%,24.63%,364.27,-0.53%,51881519.0,2026-09-18 19:32:49
SKHY,1366620000000.0,12.18,5.51,0.05,10.59,7.87,24.07,21.86,526.56%,35.63%,49.26%,112.14%,20.38%,187.5,2.46%,71058055.0,2026-09-18 19:32:49
MU,1147240000000.0,23.0,6.47,0.04,12.71,11.39,44.04,43.83,786.13%,113.57%,26.19%,174.75%,11.76%,1015.8,3.92%,35737107.0,2026-09-18 19:32:49
LLY,1085319999999.9999,39.18,24.67,0.81,13.62,32.04,121.26,59.67,50.41%,28.33%,27.59%,30.38%,21.58%,1152.93,0.04%,4549583.0,2026-09-18 19:32:49
BRK-B,981360000000.0,12.82,22.98,7.03,2.55,1.46,2.68,40.53,7.55%,0.04%,11.79%,3.27%,8.63%,509.77,0.11%,12495300.0,2026-09-18 19:32:49
BRK-A,979830000000.0,12.8,22.96,7.02,2.55,1.46,2.68,40.46,7.55%,0.04%,11.79%,3.27%,8.63%,763600.0,-0.04%,567.0,2026-09-18 19:32:49
JPM,929490000000.0,14.98,13.90,1.29,3.12,2.63,,6.05,23.67%,1.62%,17.66%,10.80%,17.27%,349.67,0.10%,18311893.0,2026-09-18 19:32:49
AMD,913890000000.0,143.67,35.26,0.46,22.13,13.59,69.65,108.76,82.98%,108.07%,5.13%,76.36%,28.82%,559.82,2.70%,31837837.0,2026-09-18 19:32:49
WMT,846770000000.0,38.67,33.06,2.96,1.15,8.63,73.45,62.68,9.48%,11.71%,11.53%,11.18%,4.99%,106.73,-0.06%,45331791.0,2026-09-18 19:32:49
V,687610000000.0,31.61,24.50,1.73,15.46,19.85,43.27,32.72,15.32%,13.67%,16.47%,14.17%,12.86%,368.29,-0.44%,19582928.0,2026-09-18 19:32:49
XOM,672460000000.0,21.05,15.16,1.08,1.85,2.59,63.51,22.01,67.21%,-7.70%,-,14.00%,12.70%,163.54,0.17%,37639461.0,2026-09-18 19:32:49
JNJ,650650000000.0,31.29,21.24,2.16,6.64,7.65,31.34,29.25,6.85%,10.26%,14.90%,9.84%,2.67%,269.99,-0.09%,16428350.0,2026-09-18 19:32:49
ASML,647470000000.0,52.3,27.65,0.72,15.72,25.95,74.7,57.17,48.88%,38.18%,23.58%,38.63%,18.27%,1679.92,3.08%,2526593.0,2026-09-18 19:32:49
INTC,574070000000.0,,51.30,0.54,10.07,6.26,19.2,1668.81,262.93%,38.89%,-,95.40%,-7.46%,108.6,-0.18%,174857132.0,2026-09-18 19:32:49
MA,495160000000.0,31.1,24.48,1.49,14.09,88.45,40.93,30.03,17.32%,15.69%,20.99%,16.47%,16.50%,565.24,-0.09%,5439916.0,2026-09-18 19:32:49
ABBV,466450000000.0,74.63,16.13,0.75,7.24,,71.01,25.61,40.50%,16.50%,-2.81%,21.47%,5.95%,263.96,-0.02%,8176582.0,2026-09-18 19:32:49
ORCL,446330000000.0,23.14,13.40,0.5,6.22,7.22,12.04,,6.60%,35.38%,5.08%,26.62%,10.72%,147.61,-1.98%,39293643.0,2026-09-18 19:32:49
CSCO,431750000000.0,32.9,19.59,1.69,6.82,8.59,27.11,33.82,18.23%,9.21%,5.88%,11.58%,4.92%,109.51,-0.66%,41293236.0,2026-09-18 19:32:49
PLTR,426880000000.0,151.38,77.66,1.18,69.34,43.67,45.32,127.11,112.60%,43.45%,-,65.82%,32.58%,177.64,0.79%,39281881.0,2026-09-18 19:32:49
CVX,413940000000.0,20.09,15.67,0.77,1.96,2.18,47.22,15.18,121.50%,-17.19%,-,20.23%,14.35%,209.51,-0.97%,47297700.0,2026-09-18 19:32:49
BAC,403690000000.0,13.29,10.97,0.7,2.07,1.47,,4.91,21.51%,13.67%,15.28%,15.63%,15.40%,57.73,-0.77%,52481317.0,2026-09-18 19:32:49
COST,397050000000.0,45.03,39.51,3.58,1.35,11.85,19.86,45.09,12.60%,10.50%,15.09%,11.03%,10.54%,895.31,0.15%,4179425.0,2026-09-18 19:32:49
KO,379700000000.0,26.59,24.99,3.04,7.51,10.5,23.19,26.56,10.18%,6.85%,11.14%,8.21%,7.94%,88.25,0.22%,28047456.0,2026-09-18 19:32:49
